country_iso,country,WASTE_ID,catchment_id,WWTP_NAME,urban_zone_id,urban_zone_type,LAT_WWTP_deg,LON_WWTP_deg,POP_SERVED_people,WASTE_DIS_m3_day,per_capita_l_day,per_capita_water_L_person_day,building_count,positive_flow_building_count,zero_flow_building_count,assigned_population_people,ratio,average_assigned_population_per_building,sum_Lb_m,sum_Qb_m3_day,sum_Lb_over_Qb_day_per_m2,average_Lb_m,average_Qb_m3_day,max_Lb_m,min_positive_Qb_m3_day,catchment_status,schema_version,method_version
KOR,South Korea,58328,58328,,UC:1115_2025,urban_centre,37.879,127.711,248842,93875.029,377.24752654294696,377.24752654294696,14835,14835,0,259431.5689721721,1.0425553924665936,17.48780377298093,51233010.475620806,97869.91770190783,253308950.33279917,3453.5227823135024,6.597230718025469,7344.703960743219,0.001043542988854447,assigned,1.0,ghsl2025-capacitated-building-v1
KWT,Kuwait,54261,54261,,UC:305_2025,urban_centre,29.151,48.067,196258,36546.222,186.2151963232072,186.2151963232072,36568,36568,0,437419.32172142237,2.2287974081129045,11.961805997632421,258150433.84534973,81454.12486991944,847574551.3649873,7059.462750091603,2.2274700522292563,20724.359157002436,0.0022791022653908823,assigned,1.0,ghsl2025-capacitated-building-v1
KWT,Kuwait,54262,54262,,UC:305_2025,urban_centre,29.161,48.104,106218,19779.412,186.2152554181024,186.2152554181024,20649,20649,0,236715.6990197903,2.2285836583233567,11.46378512372465,77409512.06458586,44080.074354444456,205058002.59627423,3748.826193258069,2.1347316748726066,13198.65134876526,0.0026724673148461977,assigned,1.0,ghsl2025-capacitated-building-v1
KWT,Kuwait,54270,54270,,UC:305_2025,urban_centre,29.285,47.919,1348492,251109.945,186.21537613867935,186.21537613867935,117674,117674,0,3005150.6731271544,2.2285268827157703,25.53793253503029,1015497545.0855454,559605.2629497744,1829877805.874063,8629.7529198085,4.755555712814847,19102.252560567613,0.0010520505314986987,assigned,1.0,ghsl2025-capacitated-building-v1
LBN,Lebanon,54559,54559,,UC:120_2025,urban_centre,33.298,35.227,315220,24962.17,79.18967705094855,79.18967705094855,10408,10408,0,114358.29189335466,0.3627888201679927,10.987537653089419,42352505.53157965,9055.996203132885,992539554.8475994,4069.2261271694515,0.8700995583332902,7261.353709609965,0.001036957253755387,assigned,1.0,ghsl2025-capacitated-building-v1
LBN,Lebanon,54623,54623,,UC:847_2025,urban_centre,34.456,35.843,586192,46420.405,79.18976205748287,79.18976205748287,14035,14035,0,425141.6146268444,0.7252600080295268,30.29152936422119,40453944.163616985,33666.86330303384,1335006055.806145,2882.361536417313,2.398779002709928,6124.256054439112,0.0010067075274561008,assigned,1.0,ghsl2025-capacitated-building-v1
LBR,Liberia,53722,53722,,UC:658_2025,urban_centre,5.868,-10.042,45161,1472.238,32.5997652842054,32.5997652842054,16185,16185,0,94325.3327487428,2.0886457950165584,5.827947652069373,50954918.504484706,3074.9837079635877,847402384.5592687,3148.2804142406367,0.18998972554609747,6601.0537082146575,0.0010286084346027868,assigned,1.0,ghsl2025-capacitated-building-v1
LBY,Libya,54489,54489,,UC:1680_2025,urban_centre,32.106,23.936,58532,1264.851,21.609563999179937,21.609563999179937,17556,17556,0,83401.51110538791,1.4248874308991306,4.750598718693775,65085432.086746894,1802.270291860214,2706416125.4185276,3707.3041744558495,0.10265836704603634,7664.252639367451,0.0010034872099592205,assigned,1.0,ghsl2025-capacitated-building-v1
LBY,Libya,54493,54493,,DUC:DUC_2623,dense_urban_cluster,32.152,13.035,73743,1593.566,21.609725668877047,21.609725668877047,11737,11737,0,50092.32889937244,0.6792824932450868,4.267898858257855,33173691.08019436,1082.48148563061,1633461156.4072003,2826.419960824262,0.09222812350946664,6257.782344902532,0.0010315868040891801,assigned,1.0,ghsl2025-capacitated-building-v1
LBY,Libya,54510,54510,,UC:941_2025,urban_centre,32.372,14.992,145180,3137.283,21.6096087615374,21.6096087615374,130537,130537,0,239386.2234824447,1.6488925711698905,1.8338572472359922,1183393299.655783,5173.0426323575975,108637486989.56271,9065.577573069573,0.039628937637279836,22799.782523732356,0.0010007890106998002,assigned,1.0,ghsl2025-capacitated-building-v1
LBY,Libya,54536,54536,,UC:400_2025,urban_centre,32.833,13.166,699911,15124.803,21.60960893599329,21.60960893599329,326335,326335,0,1181468.4566375357,1.6880267014485208,3.6204160039147983,3207570043.618539,25531.071318148774,192514791558.4787,9829.071486719287,0.07823577403021059,23810.308277606888,0.0010001793745245354,assigned,1.0,ghsl2025-capacitated-building-v1
LBY,Libya,54538,54538,,UC:242_2025,urban_centre,32.841,13.019,150095,3243.5,21.609647223425164,21.609647223425164,47856,47856,0,77535.99007656563,0.5165794335358649,1.6201937077182722,234335126.0487065,1675.5253926735675,29183679477.406345,4896.671808105702,0.03501181445740487,11006.070447631895,0.0010007156179899083,assigned,1.0,ghsl2025-capacitated-building-v1
LCA,Saint Lucia,53848,53848,,DUC:DUC_223,dense_urban_cluster,13.994,-61.005,4148,3427.548,826.3134040501446,826.3134040501446,21129,21129,0,42988.89629449211,10.363764776878522,2.034592091177628,64983583.6054197,35522.30123345995,156323751.76758745,3075.5636142467556,1.6812107167144659,6709.828294444821,0.002406397580610451,assigned,1.0,ghsl2025-capacitated-building-v1
