Node,HRT,Total_Length,x_node,y_node
FMH7063281,2.0444621787773483,6972.0,832694.0555,816325.8614
FGJ7012460,1.8527819035266888,6459.0,832862.049,816434.464
FGJ7001168,2.3074901433222097,8131.0,831432.5037999998,816033.0024
FGJ7014065,3.278539729742558,11628.0,836112.0089999998,814857.5579999998
FGJ7014066,3.069831484218591,10552.0,836208.1779999998,814890.267
FLH7017880,2.1955637900290426,8164.0,833890.9819999998,815427.324
FGJ7013222,3.787241816127179,12881.0,841357.067,815391.459
FGJ7013360,2.8316186156467835,9583.0,836253.2631,815789.9743
FGJ7036801,2.028885888885773,6806.0,833823.946,816203.441
FLH7014420,5.307362875207814,19642.0,838475.954,810869.28
FMH7063341,3.862964034277941,13154.0,839523.4599999998,816785.175
FGJ7011460,1.7904372174011782,6421.0,833162.485,816151.839
FGJ7011480,3.860254430968171,14467.0,833725.875,813916.689
FLH7015400,1.7342527514848673,5945.0,833267.9424,816517.5539
FLH7015401,2.991373986583832,10126.0,836902.034,815374.3839999998
FGJ7036715,1.9117177374930434,6587.0,833696.876,816364.2519999999
FGJ7036717,1.9117177374930434,6587.0,833700.62,816361.917
FGJ7034955,2.906225648604912,9849.0,836995.1232999999,815813.8077
FLH7012260,2.946625115713818,9962.0,836591.515,815261.567
FGJ7010270,4.732779507725077,19065.0,834333.571,814545.309
FMH7033649,4.090387916554949,14417.0,834892.616,812203.0409999999
FGJ7036369,1.926074650444824,6851.0,833961.262,816013.474
FLH7009180,4.590959827730485,17526.0,835751.755,813817.615
FLH7009181,3.1993152660114514,11244.0,835911.849,815114.5949999999
FGJ7035963,4.335183691061743,14876.0,837834.42,815536.353
FGJ7036280,2.0217131684236027,7067.0,833904.579,816201.8665999998
FGJ7036304,1.9405876069278025,6942.0,833797.8517999998,815942.2121
FGJ7036305,1.9392600916187688,6937.0,833800.6038,815945.0801
FGJ7036655,1.7298481867663684,5916.0,833315.135,816540.322
FMH7050520,5.2062799768541606,19289.0,837953.113,811168.799
FMH7050522,5.204587985840121,19276.0,837967.1169999999,811179.941
FGJ7008940,2.9603906818605563,10153.0,836980.4919999999,815537.087
FGJ7036663,1.8077104818214629,6059.0,833132.6489999999,816524.9429999999
