FEAT_NUM,Unnamed: 0,OID_,FR_PNT,TO_PNT,WIDTH,HEIGHT,SHAPE_DESC,US_IL,DS_IL,GEOMETRY_L,us_x,us_y,ds_x,ds_y,Assigned_Outfall,stay
FWD4035193,11624,11624,FMH4033194,FMH4033195,375,0,Circular,56.62,56.03,22,840247.204,821765.6262,840230.601,821751.246,SCISTW,True
FWD4035196,11625,11625,FMH4033197,FMH4033198,375,0,Circular,55.31,54.75,50,840255.621,821697.9109999998,840297.958,821671.2539999998,SCISTW,True
FWD4035197,11626,11626,FMH4033198,FMH4033199,375,0,Circular,54.68,53.0,8,840298.123,821670.7099999998,840294.87,821663.716,SCISTW,True
FWD4035198,11627,11627,FMH4033199,FMH4033200,450,0,Circular,54.45,50.01,30,840294.441,821663.082,840273.5409999999,821641.321,SCISTW,True
FWD4035200,11628,11628,FMH4033201,FMH4033202,450,0,Circular,47.74,46.74,7,840236.883,821629.145,840229.783,821627.5189999999,SCISTW,True
FWD4035202,11629,11629,FMH4033203,FMH4033204,450,0,Circular,44.14,41.85,43,840189.917,821618.961,840148.5899999999,821608.807,SCISTW,True
FWD4033479,11630,11630,FMH4031683,FMH4031684,225,0,Circular,2.91,2.86,14,841465.591,818181.485,841451.593,818181.618,SCISTW,True
FWD4033480,11631,11631,FMH4031684,FMH4031662,225,0,Circular,2.8,2.8,4,841450.86,818181.733,841447.7389999998,818178.996,SCISTW,True
FWD4033482,11632,11632,FTH4001528,FMH4031673,225,0,Circular,2.56,1.0333959192362618,22,841301.3229999999,818412.101,841319.51,818424.908,SCISTW,True
FWD4033483,11633,11633,FLH4003186,FMH4031685,225,0,Circular,3.7,3.62,11,841243.6069999998,818278.902,841235.1949999998,818272.5039999998,SCISTW,True
FWD4033485,11634,11634,FMH4031686,FMH4031687,225,0,Circular,2.95,2.9,6,841212.1169999999,818296.48,841207.936,818301.2959999999,SCISTW,True
FWD4033251,11635,11635,FMH4031451,FMH4031452,1200,0,Circular,3.5,3.25,29,841869.755,819075.7099999998,841851.235,819053.292,SCISTW,True
FWD4033252,11636,11636,FMH4031452,FMH4031453,1200,0,Circular,3.25,3.0,29,841850.78,819052.696,841834.216,819029.312,SCISTW,True
FWD4033256,11637,11637,FMH4031459,FMH4031449,900,0,Circular,8.26,6.36,17,841924.637,819105.108,841908.4499999998,819109.8669999999,SCISTW,True
FWD4033257,11638,11638,FMH4031460,FMH4031461,300,0,Circular,8.23,5.85,29,841921.647,819085.158,841895.376,819096.834,SCISTW,True
