node,type,invert_elev,x,y,catchment
CN4124,junction,-98.79230776772106,-79.518812,43.6468791,WWTP3
CN4128,junction,110.11045683460503,-79.5002695,43.6407328,WWTP3
CN4129,junction,-97.20649797109316,-79.5206245,43.6473981,WWTP3
CN4132,junction,107.75941133197115,-79.5183491,43.6465368,WWTP3
CN4147,junction,84.11382552759262,-79.5013894,43.6340333,WWTP3
CN4150,junction,-0.2769967208779788,-79.5549241,43.6254287,WWTP3
CN4156,junction,-56.140195880422496,-79.4982319,43.6239074,WWTP3
CN4159,junction,-12.411953023774918,-79.5473011,43.6193107,WWTP3
CN4170,junction,-21.436725070014674,-79.5406093,43.6156917,WWTP3
CN4185,junction,78.94657555674047,-79.5637298,43.6073483,WWTP5
CN4188,junction,81.63260374681693,-79.4922348,43.6225772,WWTP3
CN4192,junction,78.34826089842758,-79.4900687,43.6239902,WWTP3
CN4194,junction,-67.17131709573566,-79.4893965,43.6280935,WWTP3
CN4213,junction,85.13612845178967,-79.492095,43.6197432,WWTP3
CN4215,junction,95.92740736371721,-79.5288831,43.6054061,WWTP5
CN4218,junction,72.85932691406504,-79.5574624,43.603935,WWTP5
CN4220,junction,106.88949466989783,-79.5469795,43.6060853,WWTP5
CN4221,junction,76.54667110478535,-79.5224539,43.5969191,WWTP5
CN4234,junction,169.76215871719094,-79.3168677,43.7926335,WWTP4
CN4240,junction,80.34906239000019,-79.518041,43.5978942,WWTP5
CN4243,junction,-58.193897557876326,-79.5440216,43.7297448,WWTP3
CN4251,junction,-113.6135436094071,-79.5102182,43.6861062,WWTP3
CN4252,junction,-77.35019913665472,-79.5429479,43.6525634,WWTP3
CN4253,junction,-79.59318767546718,-79.5405945,43.6534511,WWTP3
CN4261,junction,-34.240643190543224,-79.5253465,43.6185298,WWTP3
CN4266,junction,78.84827497454137,-79.5197738,43.597508,WWTP5
CN4267,junction,81.86625146348455,-79.5170228,43.5984386,WWTP5
CN4277,junction,85.95404213336889,-79.5232984,43.5966721,WWTP5
CN4284,junction,-11.741506005044469,-79.5447315,43.5905446,WWTP5
CN4289,junction,89.88973296678827,-79.495997,43.6024937,WWTP3
CN4299,junction,132.88402331962527,-79.3596774,43.7127232,WWTP1
CN4320,junction,-139.27891485610405,-79.3487459,43.7160562,WWTP1
CN4321,junction,469.2966549858934,-79.3536035,43.7116454,WWTP2
CN4323,junction,127.87463228244881,-79.3565326,43.7134015,WWTP1
CN4330,junction,472.966176222472,-79.3465887,43.7133763,WWTP2
CN4345,junction,136.2115630963587,-79.3702557,43.7026799,WWTP2
CN4350,junction,-159.75963585861385,-79.3320075,43.7031818,WWTP1
CN4351,junction,-110.98484246086944,-79.3271465,43.701767,WWTP1
CN4353,junction,121.13916242098796,-79.3411194,43.6961917,WWTP1
CN4360,junction,-106.05280579520887,-79.3211778,43.7020693,WWTP1
CN4386,junction,-108.35807494546337,-79.3238348,43.7017659,WWTP1
CN4390,junction,-19.98082553949623,-79.3315026,43.7010284,WWTP1
CN4392,junction,121.52619781265018,-79.312358,43.6953247,WWTP1
CN4408,junction,-102.62007552768968,-79.317095,43.701298,WWTP1
CN4419,junction,110.1637771796764,-79.3148536,43.6991879,WWTP1
